1|0000|05005501|BANCO DO BRASIL AG 001 - BOM PRINCIPIO/RS|B|4302352|201401|201401|2|2|KVRZCXXXBTHJNXUYCPLWQKGSFRMPTV|2||2.3.0|1|
69|430|123456789|971041||0,00|0,00|3638185,00|0,00||3638185,00||||||
70|430|123456789|971043||0,00|0,00|2290932,00|0,00||2290932,00||||||
71|430|123456789|971044||0,00|0,00|1546872,00|0,00||1546872,00||||||
72|430|123456789|971045||0,00|0,00|555994,00|0,00||555994,00||||||
73|430|123456789|971046||0,00|0,00|892697,00|0,00||892697,00||||||
74|430|123456789|971048||0,00|0,00|3339047,00|0,00||3339047,00||||||
75|430|123456789|971053||0,00|0,00|3951139,00|0,00||3951139,00||||||
76|430|123456789|971054||0,00|0,00|2224861,00|0,00||2224861,00||||||
77|430|123456789|971055||0,00|0,00|1503174,00|0,00||1503174,00||||||
78|430|123456789|971056||0,00|0,00|3034611,00|0,00||3034611,00||||||
79|430|123456789|971057||0,00|0,00|2544180,00|0,00||2544180,00||||||
80|430|123456789|971058||0,00|0,00|1474321,00|0,00||1474321,00||||||
81|430|123456789|971059||0,00|0,00|4014716,00|0,00||4014716,00||||||
82|430|123456789|971060||0,00|0,00|2026301,00|0,00||2026301,00||||||
83|430|123456789|971062||0,00|0,00|2555731,00|0,00||2555731,00||||||
84|430|123456789|971063||0,00|0,00|2668472,00|0,00||2668472,00||||||
85|430|123456789|971065||0,00|0,00|1588810,00|0,00||1588810,00||||||
86|430|123456789|971066||0,00|0,00|1028415,00|0,00||1028415,00||||||
87|430|123456789|971070||0,00|0,00|4513783,00|0,00||4513783,00||||||
88|430|123456789|971071||0,00|0,00|2947705,00|0,00||2947705,00||||||
89|430|123456789|971072||0,00|0,00|3758508,00|0,00||3758508,00||||||
90|430|123456789|971074||0,00|0,00|2663933,00|0,00||2663933,00||||||
91|430|123456789|971076||0,00|0,00|1414326,00|0,00||1414326,00||||||
92|430|123456789|971077||0,00|0,00|4778211,00|0,00||4778211,00||||||
93|430|123456789|971078||0,00|0,00|4687601,00|0,00||4687601,00||||||
94|430|123456789|971079||0,00|0,00|4086266,00|0,00||4086266,00||||||
95|430|123456789|971080||0,00|0,00|1840454,00|0,00||1840454,00||||||
96|430|123456789|971082||0,00|0,00|4285486,00|0,00||4285486,00||||||
97|430|123456789|971083||0,00|0,00|4531860,00|0,00||4531860,00||||||
98|430|123456789|971099||0,00|0,00|2289075,00|0,00||2289075,00||||||
99|430|123456789|971101||0,00|0,00|4337343,00|0,00||4337343,00||||||
100|430|123456789|971117||0,00|0,00|4705375,00|0,00||4705375,00||||||
